 ### First line has dlss for this model and kcutflag
 ### Then normal l ClT ClE ClC output
     15098.439203477  -1
  114  0.29962E+04  0.50645E+00 -0.18854E+02
  115  0.30511E+04  0.52678E+00 -0.19609E+02
  116  0.31065E+04  0.54751E+00 -0.20383E+02
  117  0.31626E+04  0.56863E+00 -0.21174E+02
  118  0.32193E+04  0.59011E+00 -0.21983E+02
  119  0.32766E+04  0.61194E+00 -0.22808E+02
  120  0.33345E+04  0.63410E+00 -0.23650E+02
  121  0.33931E+04  0.65659E+00 -0.24509E+02
  122  0.34522E+04  0.67937E+00 -0.25383E+02
  123  0.35119E+04  0.70245E+00 -0.26274E+02
  124  0.35723E+04  0.72579E+00 -0.27180E+02
  125  0.36332E+04  0.74939E+00 -0.28101E+02
  126  0.36948E+04  0.77323E+00 -0.29037E+02
  127  0.37569E+04  0.79729E+00 -0.29988E+02
  128  0.38197E+04  0.82155E+00 -0.30953E+02
  129  0.38831E+04  0.84601E+00 -0.31932E+02
  130  0.39471E+04  0.87065E+00 -0.32925E+02
  131  0.40116E+04  0.89543E+00 -0.33931E+02
  132  0.40768E+04  0.92032E+00 -0.34949E+02
  133  0.41424E+04  0.94524E+00 -0.35976E+02
  134  0.42085E+04  0.97015E+00 -0.37010E+02
  135  0.42750E+04  0.99497E+00 -0.38050E+02
  136  0.43419E+04  0.10197E+01 -0.39092E+02
  137  0.44092E+04  0.10441E+01 -0.40136E+02
  138  0.44767E+04  0.10683E+01 -0.41179E+02
  139  0.45444E+04  0.10922E+01 -0.42218E+02
  140  0.46123E+04  0.11158E+01 -0.43253E+02
  141  0.46803E+04  0.11388E+01 -0.44280E+02
  142  0.47485E+04  0.11614E+01 -0.45298E+02
  143  0.48166E+04  0.11834E+01 -0.46305E+02
  144  0.48848E+04  0.12048E+01 -0.47298E+02
  145  0.49529E+04  0.12255E+01 -0.48276E+02
  146  0.50210E+04  0.12455E+01 -0.49236E+02
  147  0.50888E+04  0.12647E+01 -0.50177E+02
  148  0.51565E+04  0.12830E+01 -0.51096E+02
  149  0.52240E+04  0.13003E+01 -0.51991E+02
  150  0.52912E+04  0.13167E+01 -0.52860E+02
  151  0.53580E+04  0.13321E+01 -0.53702E+02
  152  0.54245E+04  0.13464E+01 -0.54516E+02
  153  0.54906E+04  0.13598E+01 -0.55301E+02
  154  0.55564E+04  0.13721E+01 -0.56057E+02
  155  0.56218E+04  0.13835E+01 -0.56784E+02
  156  0.56869E+04  0.13940E+01 -0.57482E+02
  157  0.57515E+04  0.14035E+01 -0.58150E+02
  158  0.58157E+04  0.14121E+01 -0.58787E+02
  159  0.58795E+04  0.14198E+01 -0.59395E+02
  160  0.59429E+04  0.14266E+01 -0.59971E+02
  161  0.60058E+04  0.14326E+01 -0.60517E+02
  162  0.60683E+04  0.14378E+01 -0.61031E+02
  163  0.61303E+04  0.14421E+01 -0.61514E+02
  164  0.61918E+04  0.14457E+01 -0.61965E+02
  165  0.62529E+04  0.14485E+01 -0.62383E+02
  166  0.63134E+04  0.14505E+01 -0.62769E+02
  167  0.63735E+04  0.14518E+01 -0.63122E+02
  168  0.64330E+04  0.14523E+01 -0.63442E+02
  169  0.64920E+04  0.14522E+01 -0.63728E+02
  170  0.65505E+04  0.14514E+01 -0.63980E+02
  171  0.66084E+04  0.14499E+01 -0.64199E+02
  172  0.66658E+04  0.14478E+01 -0.64382E+02
  173  0.67226E+04  0.14450E+01 -0.64531E+02
  174  0.67788E+04  0.14417E+01 -0.64645E+02
  175  0.68344E+04  0.14377E+01 -0.64723E+02
  176  0.68894E+04  0.14332E+01 -0.64766E+02
  177  0.69437E+04  0.14282E+01 -0.64773E+02
  178  0.69975E+04  0.14226E+01 -0.64743E+02
  179  0.70506E+04  0.14165E+01 -0.64677E+02
  180  0.71031E+04  0.14099E+01 -0.64573E+02
  181  0.71549E+04  0.14029E+01 -0.64433E+02
  182  0.72060E+04  0.13954E+01 -0.64255E+02
  183  0.72565E+04  0.13874E+01 -0.64038E+02
  184  0.73062E+04  0.13791E+01 -0.63784E+02
  185  0.73553E+04  0.13703E+01 -0.63491E+02
  186  0.74036E+04  0.13612E+01 -0.63159E+02
  187  0.74512E+04  0.13517E+01 -0.62788E+02
  188  0.74981E+04  0.13419E+01 -0.62378E+02
  189  0.75443E+04  0.13318E+01 -0.61928E+02
  190  0.75896E+04  0.13214E+01 -0.61437E+02
  191  0.76342E+04  0.13106E+01 -0.60907E+02
  192  0.76780E+04  0.12997E+01 -0.60335E+02
  193  0.77211E+04  0.12884E+01 -0.59722E+02
  194  0.77633E+04  0.12770E+01 -0.59068E+02
  195  0.78047E+04  0.12654E+01 -0.58373E+02
  196  0.78453E+04  0.12535E+01 -0.57635E+02
  197  0.78850E+04  0.12415E+01 -0.56855E+02
  198  0.79240E+04  0.12294E+01 -0.56033E+02
  199  0.79620E+04  0.12171E+01 -0.55167E+02
  200  0.79992E+04  0.12047E+01 -0.54259E+02
  201  0.80355E+04  0.11922E+01 -0.53306E+02
  202  0.80709E+04  0.11797E+01 -0.52311E+02
  203  0.81054E+04  0.11672E+01 -0.51274E+02
  204  0.81391E+04  0.11548E+01 -0.50195E+02
  205  0.81719E+04  0.11424E+01 -0.49076E+02
  206  0.82039E+04  0.11301E+01 -0.47916E+02
  207  0.82349E+04  0.11181E+01 -0.46716E+02
  208  0.82651E+04  0.11063E+01 -0.45478E+02
  209  0.82944E+04  0.10948E+01 -0.44201E+02
  210  0.83229E+04  0.10835E+01 -0.42887E+02
  211  0.83505E+04  0.10727E+01 -0.41535E+02
  212  0.83773E+04  0.10623E+01 -0.40148E+02
  213  0.84032E+04  0.10523E+01 -0.38725E+02
  214  0.84282E+04  0.10428E+01 -0.37267E+02
  215  0.84524E+04  0.10339E+01 -0.35774E+02
  216  0.84757E+04  0.10256E+01 -0.34249E+02
  217  0.84982E+04  0.10180E+01 -0.32690E+02
  218  0.85198E+04  0.10110E+01 -0.31099E+02
  219  0.85406E+04  0.10048E+01 -0.29476E+02
  220  0.85606E+04  0.99932E+00 -0.27822E+02
  221  0.85797E+04  0.99470E+00 -0.26138E+02
  222  0.85979E+04  0.99096E+00 -0.24425E+02
  223  0.86154E+04  0.98813E+00 -0.22682E+02
  224  0.86320E+04  0.98628E+00 -0.20911E+02
  225  0.86477E+04  0.98544E+00 -0.19113E+02
  226  0.86626E+04  0.98566E+00 -0.17288E+02
  227  0.86767E+04  0.98698E+00 -0.15436E+02
  228  0.86900E+04  0.98946E+00 -0.13559E+02
  229  0.87024E+04  0.99313E+00 -0.11656E+02
  230  0.87140E+04  0.99805E+00 -0.97297E+01
  231  0.87248E+04  0.10043E+01 -0.77795E+01
  232  0.87348E+04  0.10118E+01 -0.58062E+01
  233  0.87440E+04  0.10207E+01 -0.38107E+01
  234  0.87523E+04  0.10311E+01 -0.17935E+01
  235  0.87598E+04  0.10429E+01  0.24470E+00
  236  0.87665E+04  0.10562E+01  0.23032E+01
  237  0.87724E+04  0.10712E+01  0.43814E+01
  238  0.87775E+04  0.10877E+01  0.64786E+01
  239  0.87818E+04  0.11059E+01  0.85941E+01
  240  0.87852E+04  0.11257E+01  0.10727E+02
  241  0.87879E+04  0.11474E+01  0.12877E+02
  242  0.87898E+04  0.11708E+01  0.15044E+02
  243  0.87908E+04  0.11961E+01  0.17226E+02
  244  0.87911E+04  0.12232E+01  0.19423E+02
  245  0.87906E+04  0.12523E+01  0.21635E+02
  246  0.87892E+04  0.12834E+01  0.23860E+02
  247  0.87871E+04  0.13165E+01  0.26098E+02
  248  0.87842E+04  0.13516E+01  0.28349E+02
  249  0.87805E+04  0.13889E+01  0.30611E+02
  250  0.87760E+04  0.14284E+01  0.32885E+02
  251  0.87707E+04  0.14700E+01  0.35169E+02
  252  0.87647E+04  0.15139E+01  0.37462E+02
  253  0.87579E+04  0.15600E+01  0.39764E+02
  254  0.87503E+04  0.16083E+01  0.42074E+02
  255  0.87419E+04  0.16590E+01  0.44390E+02
  256  0.87328E+04  0.17118E+01  0.46714E+02
  257  0.87229E+04  0.17670E+01  0.49042E+02
  258  0.87123E+04  0.18245E+01  0.51375E+02
  259  0.87010E+04  0.18843E+01  0.53712E+02
  260  0.86889E+04  0.19464E+01  0.56052E+02
  261  0.86760E+04  0.20108E+01  0.58394E+02
  262  0.86625E+04  0.20776E+01  0.60738E+02
  263  0.86482E+04  0.21468E+01  0.63082E+02
  264  0.86332E+04  0.22183E+01  0.65425E+02
  265  0.86175E+04  0.22923E+01  0.67768E+02
  266  0.86011E+04  0.23686E+01  0.70108E+02
  267  0.85840E+04  0.24473E+01  0.72445E+02
  268  0.85662E+04  0.25285E+01  0.74779E+02
  269  0.85477E+04  0.26121E+01  0.77109E+02
  270  0.85285E+04  0.26982E+01  0.79433E+02
  271  0.85087E+04  0.27867E+01  0.81751E+02
  272  0.84881E+04  0.28777E+01  0.84062E+02
  273  0.84669E+04  0.29712E+01  0.86366E+02
  274  0.84451E+04  0.30672E+01  0.88661E+02
  275  0.84225E+04  0.31657E+01  0.90946E+02
  276  0.83994E+04  0.32667E+01  0.93221E+02
  277  0.83755E+04  0.33703E+01  0.95485E+02
  278  0.83511E+04  0.34765E+01  0.97738E+02
  279  0.83260E+04  0.35852E+01  0.99977E+02
  280  0.83003E+04  0.36965E+01  0.10220E+03
  281  0.82739E+04  0.38104E+01  0.10442E+03
  282  0.82469E+04  0.39269E+01  0.10661E+03
  283  0.82193E+04  0.40460E+01  0.10879E+03
  284  0.81911E+04  0.41677E+01  0.11096E+03
  285  0.81623E+04  0.42921E+01  0.11310E+03
  286  0.81329E+04  0.44191E+01  0.11523E+03
  287  0.81029E+04  0.45489E+01  0.11734E+03
  288  0.80723E+04  0.46813E+01  0.11943E+03
  289  0.80411E+04  0.48164E+01  0.12149E+03
  290  0.80094E+04  0.49542E+01  0.12354E+03
  291  0.79771E+04  0.50947E+01  0.12556E+03
  292  0.79442E+04  0.52380E+01  0.12756E+03
  293  0.79107E+04  0.53840E+01  0.12954E+03
  294  0.78767E+04  0.55327E+01  0.13149E+03
  295  0.78421E+04  0.56843E+01  0.13341E+03
  296  0.78070E+04  0.58386E+01  0.13531E+03
  297  0.77714E+04  0.59957E+01  0.13718E+03
  298  0.77352E+04  0.61557E+01  0.13902E+03
  299  0.76985E+04  0.63184E+01  0.14084E+03
  300  0.76612E+04  0.64840E+01  0.14262E+03
  301  0.76235E+04  0.66525E+01  0.14437E+03
  302  0.75852E+04  0.68237E+01  0.14609E+03
  303  0.75464E+04  0.69977E+01  0.14778E+03
  304  0.75072E+04  0.71743E+01  0.14944E+03
  305  0.74675E+04  0.73537E+01  0.15106E+03
  306  0.74273E+04  0.75356E+01  0.15265E+03
  307  0.73867E+04  0.77200E+01  0.15421E+03
  308  0.73456E+04  0.79069E+01  0.15574E+03
  309  0.73042E+04  0.80963E+01  0.15723E+03
  310  0.72623E+04  0.82880E+01  0.15869E+03
  311  0.72200E+04  0.84821E+01  0.16011E+03
  312  0.71774E+04  0.86785E+01  0.16149E+03
  313  0.71344E+04  0.88770E+01  0.16284E+03
  314  0.70910E+04  0.90778E+01  0.16416E+03
  315  0.70473E+04  0.92806E+01  0.16544E+03
  316  0.70033E+04  0.94856E+01  0.16668E+03
  317  0.69590E+04  0.96925E+01  0.16788E+03
  318  0.69143E+04  0.99014E+01  0.16905E+03
  319  0.68694E+04  0.10112E+02  0.17018E+03
  320  0.68242E+04  0.10325E+02  0.17127E+03
  321  0.67787E+04  0.10539E+02  0.17232E+03
  322  0.67330E+04  0.10756E+02  0.17333E+03
  323  0.66870E+04  0.10974E+02  0.17430E+03
  324  0.66409E+04  0.11193E+02  0.17523E+03
  325  0.65945E+04  0.11414E+02  0.17612E+03
  326  0.65479E+04  0.11637E+02  0.17697E+03
  327  0.65011E+04  0.11861E+02  0.17778E+03
  328  0.64541E+04  0.12087E+02  0.17855E+03
  329  0.64070E+04  0.12314E+02  0.17927E+03
  330  0.63598E+04  0.12543E+02  0.17995E+03
  331  0.63124E+04  0.12772E+02  0.18059E+03
  332  0.62648E+04  0.13003E+02  0.18119E+03
  333  0.62172E+04  0.13236E+02  0.18174E+03
  334  0.61695E+04  0.13469E+02  0.18225E+03
  335  0.61217E+04  0.13703E+02  0.18271E+03
  336  0.60738E+04  0.13938E+02  0.18313E+03
  337  0.60258E+04  0.14175E+02  0.18350E+03
  338  0.59778E+04  0.14412E+02  0.18383E+03
  339  0.59298E+04  0.14650E+02  0.18411E+03
  340  0.58818E+04  0.14889E+02  0.18435E+03
  341  0.58337E+04  0.15129E+02  0.18453E+03
  342  0.57857E+04  0.15369E+02  0.18467E+03
  343  0.57377E+04  0.15610E+02  0.18477E+03
  344  0.56897E+04  0.15852E+02  0.18481E+03
  345  0.56417E+04  0.16094E+02  0.18480E+03
  346  0.55938E+04  0.16337E+02  0.18475E+03
  347  0.55460E+04  0.16580E+02  0.18465E+03
  348  0.54983E+04  0.16824E+02  0.18449E+03
  349  0.54506E+04  0.17068E+02  0.18429E+03
  350  0.54031E+04  0.17312E+02  0.18404E+03
  351  0.53557E+04  0.17557E+02  0.18373E+03
  352  0.53084E+04  0.17802E+02  0.18338E+03
  353  0.52613E+04  0.18046E+02  0.18297E+03
  354  0.52143E+04  0.18291E+02  0.18251E+03
  355  0.51674E+04  0.18536E+02  0.18201E+03
  356  0.51207E+04  0.18780E+02  0.18146E+03
  357  0.50742E+04  0.19025E+02  0.18085E+03
  358  0.50279E+04  0.19269E+02  0.18020E+03
  359  0.49818E+04  0.19512E+02  0.17951E+03
  360  0.49359E+04  0.19755E+02  0.17876E+03
  361  0.48901E+04  0.19998E+02  0.17797E+03
  362  0.48446E+04  0.20240E+02  0.17714E+03
  363  0.47994E+04  0.20481E+02  0.17626E+03
  364  0.47543E+04  0.20721E+02  0.17533E+03
  365  0.47095E+04  0.20961E+02  0.17436E+03
  366  0.46650E+04  0.21199E+02  0.17334E+03
  367  0.46207E+04  0.21437E+02  0.17229E+03
  368  0.45767E+04  0.21673E+02  0.17119E+03
  369  0.45329E+04  0.21908E+02  0.17004E+03
  370  0.44895E+04  0.22142E+02  0.16885E+03
  371  0.44463E+04  0.22375E+02  0.16763E+03
  372  0.44035E+04  0.22606E+02  0.16636E+03
  373  0.43609E+04  0.22835E+02  0.16505E+03
  374  0.43187E+04  0.23063E+02  0.16370E+03
  375  0.42768E+04  0.23290E+02  0.16231E+03
  376  0.42353E+04  0.23514E+02  0.16088E+03
  377  0.41941E+04  0.23737E+02  0.15941E+03
  378  0.41533E+04  0.23957E+02  0.15791E+03
  379  0.41128E+04  0.24176E+02  0.15636E+03
  380  0.40727E+04  0.24393E+02  0.15478E+03
  381  0.40330E+04  0.24607E+02  0.15316E+03
  382  0.39936E+04  0.24819E+02  0.15151E+03
  383  0.39547E+04  0.25029E+02  0.14982E+03
  384  0.39162E+04  0.25236E+02  0.14809E+03
  385  0.38781E+04  0.25441E+02  0.14633E+03
  386  0.38404E+04  0.25643E+02  0.14453E+03
  387  0.38032E+04  0.25843E+02  0.14270E+03
  388  0.37664E+04  0.26040E+02  0.14084E+03
  389  0.37301E+04  0.26234E+02  0.13894E+03
  390  0.36942E+04  0.26425E+02  0.13701E+03
  391  0.36588E+04  0.26613E+02  0.13505E+03
  392  0.36239E+04  0.26799E+02  0.13305E+03
  393  0.35894E+04  0.26981E+02  0.13103E+03
  394  0.35555E+04  0.27159E+02  0.12897E+03
  395  0.35220E+04  0.27335E+02  0.12689E+03
  396  0.34891E+04  0.27507E+02  0.12477E+03
  397  0.34567E+04  0.27676E+02  0.12262E+03
  398  0.34248E+04  0.27841E+02  0.12045E+03
  399  0.33935E+04  0.28002E+02  0.11825E+03
  400  0.33627E+04  0.28160E+02  0.11602E+03
  401  0.33325E+04  0.28314E+02  0.11376E+03
  402  0.33028E+04  0.28464E+02  0.11147E+03
  403  0.32737E+04  0.28610E+02  0.10916E+03
  404  0.32452E+04  0.28753E+02  0.10682E+03
  405  0.32172E+04  0.28891E+02  0.10447E+03
  406  0.31897E+04  0.29026E+02  0.10208E+03
  407  0.31629E+04  0.29157E+02  0.99679E+02
  408  0.31365E+04  0.29283E+02  0.97254E+02
  409  0.31107E+04  0.29406E+02  0.94808E+02
  410  0.30855E+04  0.29525E+02  0.92344E+02
  411  0.30608E+04  0.29639E+02  0.89861E+02
  412  0.30367E+04  0.29750E+02  0.87361E+02
  413  0.30132E+04  0.29857E+02  0.84845E+02
  414  0.29901E+04  0.29959E+02  0.82313E+02
  415  0.29677E+04  0.30057E+02  0.79766E+02
  416  0.29458E+04  0.30151E+02  0.77206E+02
  417  0.29244E+04  0.30241E+02  0.74634E+02
