    2  0.12482E+04  0.63173E-01  0.39358E+01
    3  0.11792E+04  0.11245E+00  0.50691E+01
    4  0.11073E+04  0.13824E+00  0.54128E+01
    5  0.10555E+04  0.13377E+00  0.51983E+01
    6  0.10143E+04  0.10776E+00  0.46838E+01
    7  0.99046E+03  0.74400E-01  0.40079E+01
    8  0.97233E+03  0.45413E-01  0.32982E+01
    9  0.95602E+03  0.26369E-01  0.26887E+01
   10  0.95440E+03  0.17026E-01  0.22047E+01
   11  0.96001E+03  0.13876E-01  0.18248E+01
   12  0.96705E+03  0.13285E-01  0.15498E+01
   13  0.97280E+03  0.12413E-01  0.13827E+01
   14  0.97832E+03  0.11104E-01  0.13072E+01
   15  0.98570E+03  0.98744E-02  0.13022E+01
   16  0.99658E+03  0.91375E-02  0.13476E+01
   17  0.10107E+04  0.89010E-02  0.14285E+01
   18  0.10271E+04  0.90702E-02  0.15310E+01
   19  0.10452E+04  0.95505E-02  0.16413E+01
   20  0.10641E+04  0.10248E-01  0.17456E+01
   21  0.10832E+04  0.11084E-01  0.18329E+01
   22  0.11022E+04  0.12059E-01  0.19026E+01
   23  0.11213E+04  0.13190E-01  0.19570E+01
   24  0.11405E+04  0.14492E-01  0.19985E+01
   25  0.11598E+04  0.15983E-01  0.20291E+01
   26  0.11793E+04  0.17678E-01  0.20514E+01
   27  0.11991E+04  0.19597E-01  0.20674E+01
   28  0.12191E+04  0.21754E-01  0.20794E+01
   29  0.12392E+04  0.24169E-01  0.20898E+01
   30  0.12599E+04  0.26863E-01  0.21007E+01
   31  0.12808E+04  0.29850E-01  0.21137E+01
   32  0.13020E+04  0.33138E-01  0.21277E+01
   33  0.13236E+04  0.36729E-01  0.21405E+01
   34  0.13456E+04  0.40626E-01  0.21502E+01
   35  0.13677E+04  0.44831E-01  0.21549E+01
   36  0.13902E+04  0.49347E-01  0.21525E+01
   37  0.14129E+04  0.54178E-01  0.21410E+01
   38  0.14358E+04  0.59325E-01  0.21184E+01
   39  0.14589E+04  0.64791E-01  0.20826E+01
   40  0.14822E+04  0.70577E-01  0.20313E+01
   41  0.15056E+04  0.76688E-01  0.19627E+01
   42  0.15292E+04  0.83121E-01  0.18767E+01
   43  0.15529E+04  0.89880E-01  0.17733E+01
   44  0.15768E+04  0.96964E-01  0.16524E+01
   45  0.16009E+04  0.10437E+00  0.15141E+01
   46  0.16251E+04  0.11212E+00  0.13584E+01
   47  0.16495E+04  0.12018E+00  0.11855E+01
   48  0.16742E+04  0.12859E+00  0.99523E+00
   49  0.16990E+04  0.13734E+00  0.78786E+00
   50  0.17241E+04  0.14644E+00  0.56325E+00
   51  0.17493E+04  0.15590E+00  0.32150E+00
   52  0.17748E+04  0.16571E+00  0.62906E-01
   53  0.18005E+04  0.17587E+00 -0.21234E+00
   54  0.18265E+04  0.18640E+00 -0.50402E+00
   55  0.18527E+04  0.19728E+00 -0.81189E+00
   56  0.18791E+04  0.20852E+00 -0.11358E+01
   57  0.19058E+04  0.22013E+00 -0.14757E+01
   58  0.19327E+04  0.23210E+00 -0.18315E+01
   59  0.19598E+04  0.24444E+00 -0.22031E+01
   60  0.19873E+04  0.25715E+00 -0.25903E+01
   61  0.20149E+04  0.27024E+00 -0.29930E+01
   62  0.20428E+04  0.28369E+00 -0.34112E+01
   63  0.20710E+04  0.29750E+00 -0.38445E+01
   64  0.20993E+04  0.31165E+00 -0.42928E+01
   65  0.21280E+04  0.32613E+00 -0.47559E+01
   66  0.21569E+04  0.34092E+00 -0.52338E+01
   67  0.21861E+04  0.35604E+00 -0.57262E+01
   68  0.22155E+04  0.37144E+00 -0.62331E+01
   69  0.22453E+04  0.38714E+00 -0.67543E+01
   70  0.22754E+04  0.40313E+00 -0.72897E+01
   71  0.23057E+04  0.41938E+00 -0.78392E+01
   72  0.23363E+04  0.43589E+00 -0.84025E+01
   73  0.23672E+04  0.45265E+00 -0.89796E+01
   74  0.23984E+04  0.46966E+00 -0.95704E+01
   75  0.24299E+04  0.48689E+00 -0.10175E+02
   76  0.24617E+04  0.50436E+00 -0.10793E+02
   77  0.24938E+04  0.52203E+00 -0.11424E+02
   78  0.25263E+04  0.53991E+00 -0.12069E+02
   79  0.25590E+04  0.55799E+00 -0.12728E+02
   80  0.25921E+04  0.57627E+00 -0.13400E+02
   81  0.26256E+04  0.59473E+00 -0.14085E+02
   82  0.26593E+04  0.61337E+00 -0.14782E+02
   83  0.26935E+04  0.63214E+00 -0.15492E+02
   84  0.27279E+04  0.65105E+00 -0.16213E+02
   85  0.27626E+04  0.67005E+00 -0.16945E+02
   86  0.27976E+04  0.68912E+00 -0.17687E+02
   87  0.28330E+04  0.70824E+00 -0.18438E+02
   88  0.28687E+04  0.72739E+00 -0.19196E+02
   89  0.29047E+04  0.74654E+00 -0.19963E+02
   90  0.29409E+04  0.76568E+00 -0.20735E+02
   91  0.29773E+04  0.78476E+00 -0.21514E+02
   92  0.30142E+04  0.80379E+00 -0.22300E+02
   93  0.30512E+04  0.82276E+00 -0.23089E+02
   94  0.30887E+04  0.84166E+00 -0.23885E+02
   95  0.31263E+04  0.86048E+00 -0.24684E+02
   96  0.31643E+04  0.87922E+00 -0.25488E+02
   97  0.32026E+04  0.89787E+00 -0.26297E+02
   98  0.32411E+04  0.91643E+00 -0.27108E+02
   99  0.32798E+04  0.93488E+00 -0.27923E+02
  100  0.33188E+04  0.95323E+00 -0.28741E+02
  101  0.33581E+04  0.97143E+00 -0.29561E+02
  102  0.33977E+04  0.98948E+00 -0.30382E+02
